Location,cause,Year,deaths
World,Low physicalactivity,1998,924224.2793
World,No access to handwashing facility,1998,1077689.327
World,Nonexclusive breastfeeding,1998,372047.0743
World,Secondhand smoke,1998,1218980.197
World,Smoking,1998,6244660.28
World,Unsafe sanitation,1998,1382608.295
World,Unsafe sex,1998,1175637.032
World,Unsafe watersource,1998,1808119.007
World,VitaminA deficiency,1998,799376.267
World,Zinc deficiency,1998,101097.6016
World,Air Pollution,1998,4760687.913
World,Indoor Air Pollution,1998,2419886.895
World,Outdoor Air Pollution,1998,2505346.22
World,Alcohol use,1999,2292873.113
World,Child stunting,1999,746562.036
World,Child wasting,1999,2625624.006
World,Diet high in red meat,1999,14455.15181
World,Diet high in sodium,1999,2346825.038
World,Diet low  in nutsandseeds,1999,1583488.275
World,Diet low in calcium,1999,125328.5643
World,Diet low in fiber,1999,672538.1696
World,Diet low in fruits,1999,2164057.653
World,Diet low in legumes,1999,452046.6142
World,Diet low in seafood omega3fattyacids,1999,1123007.798
World,Diet low in vegetables,1999,1397941.517
World,Diet low in whole grains,1999,2467252.566
World,Discontinued breastfeeding,1999,23068.35938
World,Drugs,1999,386344.769
World,High bloodpressure,1999,7817683.344
World,High bodymass  index,1999,2860457.523
World,High fasting plasma glucose,1999,4224079.759
World,Iron deficiency,1999,117171.3342
World,Low birth weight for gestation,1999,1744953.726
World,Low bonemineraldensity,1999,188111.9977
World,Low physicalactivity,1999,940794.6666
World,No access to handwashing facility,1999,1052547.258
World,Nonexclusive breastfeeding,1999,357098.3394
World,Secondhand smoke,1999,1204890.482
World,Smoking,1999,6298194.798
World,Unsafe sanitation,1999,1347957.663
World,Unsafe sex,1999,1287095.166
World,Unsafe watersource,1999,1766645.451
World,VitaminA deficiency,1999,762159.4714
World,Zinc deficiency,1999,95884.33358
World,Air Pollution,1999,4726253.31
World,Indoor Air Pollution,1999,2357044.544
World,Outdoor Air Pollution,1999,2529888.13
World,Alcohol use,2000,2349425.559
World,Child stunting,2000,713553.2893
World,Child wasting,2000,2528264.401
World,Diet high in red meat,2000,14603.25673
World,Diet high in sodium,2000,2373206.335
World,Diet low  in nutsandseeds,2000,1606580.666
World,Diet low in calcium,2000,127264.3301
World,Diet low in fiber,2000,682818.1194
World,Diet low in fruits,2000,2196322.754
World,Diet low in legumes,2000,459620.2973
World,Diet low in seafood omega3fattyacids,2000,1139759.58
World,Diet low in vegetables,2000,1409938.272
World,Diet low in whole grains,2000,2505478.865
World,Discontinued breastfeeding,2000,22083.23036
World,Drugs,2000,399074.8586
World,High bloodpressure,2000,7932073.943
World,High bodymass  index,2000,2941771.575
World,High fasting plasma glucose,2000,4324898.2
World,Iron deficiency,2000,115979.0638
World,Low birth weight for gestation,2000,1713464.777
World,Low bonemineraldensity,2000,193169.8901
World,Low physicalactivity,2000,953743.6942
World,No access to handwashing facility,2000,1030042.304
World,Nonexclusive breastfeeding,2000,343019.1682
World,Secondhand smoke,2000,1195523.541
World,Smoking,2000,6351837.677
World,Unsafe sanitation,2000,1315192.214
World,Unsafe sex,2000,1392956.936
World,Unsafe watersource,2000,1727905.469
World,VitaminA deficiency,2000,724028.1526
World,Zinc deficiency,2000,91046.5756
World,Air Pollution,2000,4709245.489
World,Indoor Air Pollution,2000,2314854.156
World,Outdoor Air Pollution,2000,2552798.2
World,Alcohol use,2001,2385905.324
World,Child stunting,2001,676204.3307
World,Child wasting,2001,2415167.658
World,Diet high in red meat,2001,14862.56522
World,Diet high in sodium,2001,2388334.971
World,Diet low  in nutsandseeds,2001,1625938.683
World,Diet low in calcium,2001,129431.4698
World,Diet low in fiber,2001,690226.3198
World,Diet low in fruits,2001,2213864.466
World,Diet low in legumes,2001,464378.2287
World,Diet low in seafood omega3fattyacids,2001,1152694.201
World,Diet low in vegetables,2001,1412483.952
World,Diet low in whole grains,2001,2533247.808
World,Discontinued breastfeeding,2001,20739.48575
World,Drugs,2001,405362.8774
World,High bloodpressure,2001,8029451.543
World,High bodymass  index,2001,3015683.059
World,High fasting plasma glucose,2001,4438142.543
World,Iron deficiency,2001,111445.9278
World,Low birth weight for gestation,2001,1677551.591
World,Low bonemineraldensity,2001,198968.4113
World,Low physicalactivity,2001,967277.0082
World,No access to handwashing facility,2001,1003459.771
World,Nonexclusive breastfeeding,2001,328012.1893
World,Secondhand smoke,2001,1183889.971
World,Smoking,2001,6382733.902
World,Unsafe sanitation,2001,1277426.292
World,Unsafe sex,2001,1493488.865
World,Unsafe watersource,2001,1682357.015
World,VitaminA deficiency,2001,681755.0791
World,Zinc deficiency,2001,84464.0465
World,Air Pollution,2001,4702796.73
